;period_2;NAME;UPDATETIME;VALTODAY;VALTODAY_USD;NUMTRADES
0;2021-January-4;stock;2021-01-04 23:50:27;251685,508612;3406,87815631;1839593,0
1;2021-January-4;currency;2021-01-04 23:49:59;194774,814411;2636,5207288899996;231876,0
2;2021-January-4;futures;2021-01-04 18:44:59;485697,13742;6574,51824375;1299640,0
3;2021-January-4;commodity;2021-01-04 09:30:00;nan;nan;nan
4;2021-January-4;TOTALS;2021-01-04 23:50:27;932157,460443;12617,917128899999;3371109,0
5;2021-January-5;stock;2021-01-05 23:50:29;229687,811864;3109,11181707;1648995,0
6;2021-January-5;currency;2021-01-05 23:49:59;235981,95357;3194,3108974899997;169334,0
7;2021-January-5;futures;2021-01-05 18:44:59;618686,911758;8374,70117722;1777725,0
8;2021-January-5;commodity;2021-01-05 09:30:00;nan;nan;nan
9;2021-January-5;TOTALS;2021-01-05 23:50:29;1084356,67719;14678,1238918;3596054,0
10;2021-January-6;stock;2021-01-06 23:50:25;223500,530568;3025,35922594;1604795,0
11;2021-January-6;currency;2021-01-06 23:49:59;175386,892431;2374,08095532;170264,0
12;2021-January-6;futures;2021-01-06 18:44:59;565883,174054;7659,93654279;1632818,0
13;2021-January-6;commodity;2021-01-06 09:30:00;nan;nan;nan
14;2021-January-6;TOTALS;2021-01-06 23:50:25;964770,597053;13059,3767241;3407877,0
15;2021-January-8;stock;2021-01-08 23:50:22;321941,559186;4357,88167403;2160043,0
16;2021-January-8;currency;2021-01-08 23:49:59;206040,069548;2789,01004726;196352,0
17;2021-January-8;futures;2021-01-08 18:44:59;610859,532578;8268,74780988;1818220,0
18;2021-January-8;commodity;2021-01-08 09:30:00;nan;nan;nan
19;2021-January-8;TOTALS;2021-01-08 23:50:22;1138841,16131;15415,6395312;4174615,0
20;2021-January-11;stock;2021-01-11 23:50:26;2398329,47828;32464,389214400002;2371099,0
21;2021-January-11;currency;2021-01-11 23:49:58;1542034,8179;20873,369970099997;412290,0
22;2021-January-11;futures;2021-01-11 18:44:59;634047,912194;8582,63153099;1911248,0
23;2021-January-11;commodity;2021-01-11 09:30:00;nan;nan;nan
24;2021-January-11;TOTALS;2021-01-11 23:50:26;4574412,20838;61920,3907155;4694637,0
25;2021-January-12;stock;2021-01-12 23:50:23;2541688,97733;34109,4424038;1924363,0
26;2021-January-12;currency;2021-01-12 23:49:59;1769568,898;23747,5981303;435396,0
27;2021-January-12;futures;2021-01-12 18:44:59;610736,493026;8196,07804833;1669463,0
28;2021-January-12;commodity;2021-01-12 09:30:00;nan;nan;nan
29;2021-January-12;TOTALS;2021-01-12 23:50:23;4921994,36835;66053,1185824;4029222,0
30;2021-January-13;stock;2021-01-13 23:50:24;1976220,792;26609,926601900002;1889949,0
31;2021-January-13;currency;2021-01-13 23:49:59;1521177,96253;20482,748737;381367,0
32;2021-January-13;futures;2021-01-13 18:44:59;577347,095434;7774,0118389399995;1605868,0
33;2021-January-13;commodity;2021-01-13 09:30:00;nan;nan;nan
34;2021-January-13;TOTALS;2021-01-13 23:50:24;4074745,84996;54866,6871779;3877184,0
35;2021-January-14;stock;2021-01-14 23:50:26;3085942,89;41970,5424174;2041821,0
36;2021-January-14;currency;2021-01-14 23:49:59;1355191,80401;18431,363483200003;429240,0
37;2021-January-14;futures;2021-01-14 18:44:59;587494,746943;7990,2558393;1585473,0
38;2021-January-14;commodity;2021-01-14 09:30:00;nan;nan;nan
39;2021-January-14;TOTALS;2021-01-14 23:50:26;5028629,44095;68392,1617399;4056534,0
40;2021-January-15;stock;2021-01-15 23:50:26;1534636,36735;20795,629679;1988803,0
41;2021-January-15;currency;2021-01-15 23:49:59;1498087,92315;20300,3671353;387760,0
42;2021-January-15;futures;2021-01-15 18:44:59;614126,626758;8321,93878481;1654313,0
43;2021-January-15;commodity;2021-01-15 09:30:00;nan;nan;nan
44;2021-January-15;TOTALS;2021-01-15 23:50:26;3646850,91726;49417,9355991;4030876,0
45;2021-January-18;stock;2021-01-18 23:50:21;1593128,34367;21661,8647782;1778951,0
46;2021-January-18;currency;2021-01-18 23:49:58;556607,101591;7568,22124039;190457,0
47;2021-January-18;futures;2021-01-18 18:44:59;516802,043027;7026,9893933;1414334,0
48;2021-January-18;commodity;2021-01-18 09:30:00;nan;nan;nan
49;2021-January-18;TOTALS;2021-01-18 23:50:21;2666537,48829;36257,075411900005;3383742,0
50;2021-January-19;stock;2021-01-19 23:50:27;3210855,36214;43405,4811809;1736010,0
51;2021-January-19;currency;2021-01-19 23:49:59;1529159,68866;20671,7228286;370717,0
52;2021-January-19;futures;2021-01-19 18:44:59;462479,225148;6251,95813566;1285676,0
53;2021-January-19;commodity;2021-01-19 09:30:00;nan;nan;nan
54;2021-January-19;TOTALS;2021-01-19 23:50:27;5202494,27595;70329,1621452;3392403,0
55;2021-January-20;stock;2021-01-20 23:50:25;1884840,55328;25566,0691696;1586263,0
56;2021-January-20;currency;2021-01-20 23:49:59;1490887,60308;20222,472143900002;388510,0
57;2021-January-20;futures;2021-01-20 18:44:59;500469,660231;6788,3948743;1325563,0
58;2021-January-20;commodity;2021-01-20 11:26:00;nan;nan;nan
59;2021-January-20;TOTALS;2021-01-20 23:50:25;3876197,81659;52576,936187800005;3300336,0
60;2021-January-21;stock;2021-01-21 23:50:24;1849237,11587;25209,421523700003;2035276,0
61;2021-January-21;currency;2021-01-21 23:49:59;1546132,39822;21077,3961995;382332,0
62;2021-January-21;futures;2021-01-21 18:44:59;588233,563227;8018,9975220100005;1556965,0
63;2021-January-21;commodity;2021-01-21 11:16:00;nan;nan;nan
64;2021-January-21;TOTALS;2021-01-21 23:50:24;3983603,07731;54305,8152452;3974573,0
65;2021-January-22;stock;2021-01-22 23:50:26;1743711,29375;23766,1926327;1985204,0
66;2021-January-22;currency;2021-01-22 23:49:59;1751176,39252;23867,9393933;421091,0
67;2021-January-22;futures;2021-01-22 18:44:59;671159,319817;9147,673550790001;1744804,0
68;2021-January-22;commodity;2021-01-22 11:31:00;nan;nan;nan
69;2021-January-22;TOTALS;2021-01-22 23:50:26;4166047,00609;56781,805576800005;4151099,0
70;2021-January-25;stock;2021-01-25 23:50:25;1738307,24965;23376,441433400003;2137021,0
71;2021-January-25;currency;2021-01-25 23:49:59;1525286,40266;20511,775618599997;440492,0
72;2021-January-25;futures;2021-01-25 18:44:59;719602,902766;9677,08966019;1821013,0
73;2021-January-25;commodity;2021-01-25 09:30:00;nan;nan;nan
