;Year;Month;Day;Name;CountTrades(K);OpenPrice;LowPrice;HighPrice;ClosePrice;WAPrice;VOLUMERUB
0;Год: 2021;Месяц: 1;День: 4;Юань-российский рубль__CETS;0.335;11,466;11,328;11,512;11,502;11,4212;331910533.0
3;Год: 2021;Месяц: 1;День: 5;Юань-российский рубль__CETS;0.358;11,5365;11,47;11,6639;11,51;11,5797;307417630.0
6;Год: 2021;Месяц: 1;День: 6;Юань-российский рубль__CETS;0.286;11,4456;11,41;11,5004;11,464;11,4478;339049190.1
1;Год: 2021;Месяц: 1;День: 4;Доллар США-российский рубль__CETS;65.837;74,135;73,055;74,405;74,33;73,657;161794021855.0
5;Год: 2021;Месяц: 1;День: 5;Доллар США-российский рубль__CETS;65.551;74,1125;73,85;75,2875;74,04;74,6358;201242708062.5
9;Год: 2021;Месяц: 1;День: 6;Доллар США-российский рубль__CETS;58.366;73,78;73,3975;74,2075;73,9225;73,7675;147744733582.5
1;Год: 2021;Месяц: 1;День: 4;Евро-российский рубль__CETS;7.219;90,985;89,7775;91,44;90,96;90,3561;15660698845.0
5;Год: 2021;Месяц: 1;День: 5;Евро-российский рубль__CETS;7.819;90,8475;90,8475;92,3425;91,0025;91,6964;19044611535.0
9;Год: 2021;Месяц: 1;День: 6;Евро-российский рубль__CETS;5.587;91,0;90,585;91,3525;91,0975;90,8994;13497106425.0
3;Год: 2021;Месяц: 1;День: 8;Юань-российский рубль__CETS;0.283;11,478;11,4425;11,5613;11,468;11,4842;139211734.0
6;Год: 2021;Месяц: 1;День: 11;Юань-российский рубль__CETS;0.418;11,4966;11,4731;11,5639;11,53;11,5182;854290964.0
5;Год: 2021;Месяц: 1;День: 8;Доллар США-российский рубль__CETS;63.278;74,265;73,8175;74,835;74,155;74,2494;173860453680.0
9;Год: 2021;Месяц: 1;День: 11;Доллар США-российский рубль__CETS;70.645;74,4325;74,265;75,0;74,66;74,6261;294296035402.5
5;Год: 2021;Месяц: 1;День: 8;Евро-российский рубль__CETS;6.267;90,9375;90,6;91,4775;90,6;90,8765;16029333880.0
9;Год: 2021;Месяц: 1;День: 11;Евро-российский рубль__CETS;8.644;90,6975;90,5;91,115;90,8;90,8031;41447792330.0
3;Год: 2021;Месяц: 1;День: 12;Юань-российский рубль__CETS;0.461;11,52;11,3939;11,52;11,41;11,4843;854122738.6
6;Год: 2021;Месяц: 1;День: 13;Юань-российский рубль__CETS;0.366;11,3901;11,3726;11,4479;11,394;11,417;639009943.4
9;Год: 2021;Месяц: 1;День: 14;Юань-российский рубль__CETS;0.369;11,4102;11,3081;11,4494;11,335;11,3735;558110633.5
12;Год: 2021;Месяц: 1;День: 15;Юань-российский рубль__CETS;0.348;11,3521;11,3121;11,3949;11,347;11,3573;1012472395.5
5;Год: 2021;Месяц: 1;День: 12;Доллар США-российский рубль__CETS;76.982;74,46;73,5;74,46;73,54;74,0069;259108306645.0
9;Год: 2021;Месяц: 1;День: 13;Доллар США-российский рубль__CETS;63.584;73,5;73,375;73,98;73,7475;73,7125;233805968002.5
13;Год: 2021;Месяц: 1;День: 14;Доллар США-российский рубль__CETS;73.47;73,77;73,1025;74,01;73,21;73,4286;237101006115.0
17;Год: 2021;Месяц: 1;День: 15;Доллар США-российский рубль__CETS;63.667;73,455;73,2625;73,8875;73,645;73,5477;240474251815.0
5;Год: 2021;Месяц: 1;День: 12;Евро-российский рубль__CETS;10.546;90,44;89,45;90,5325;89,79;90,02;31566790437.5
9;Год: 2021;Месяц: 1;День: 13;Евро-российский рубль__CETS;9.03;89,895;89,42;90,0675;89,61;89,7681;39674879080.0
13;Год: 2021;Месяц: 1;День: 14;Евро-российский рубль__CETS;11.223;89,6325;88,805;89,89;89,065;89,1762;38380376892.5
17;Год: 2021;Месяц: 1;День: 15;Евро-российский рубль__CETS;9.413;89,2;88,85;89,425;88,92;89,0982;42191454080.0
0;Год: 2021;Месяц: 1;День: 18;Юань-российский рубль__CETS;0.291;11,4046;11,3671;11,4339;11,3915;11,3989;400328193.2
3;Год: 2021;Месяц: 1;День: 19;Юань-российский рубль__CETS;0.285;11,3709;11,34;11,4079;11,374;11,3793;324263650.0
6;Год: 2021;Месяц: 1;День: 20;Юань-российский рубль__CETS;0.276;11,3679;11,3265;11,3904;11,381;11,3603;224116925.1
9;Год: 2021;Месяц: 1;День: 21;Юань-российский рубль__CETS;0.359;11,3545;11,34;11,45;11,4235;11,3819;748714066.7
1;Год: 2021;Месяц: 1;День: 18;Доллар США-российский рубль__CETS;62.758;74,0075;73,77;74,38;73,995;74,1054;222791892855.0
5;Год: 2021;Месяц: 1;День: 19;Доллар США-российский рубль__CETS;54.888;73,8275;73,2275;73,935;73,68;73,7512;209116176087.5
9;Год: 2021;Месяц: 1;День: 20;Доллар США-российский рубль__CETS;54.547;73,68;73,21;73,6875;73,52;73,4664;189578103770.0
13;Год: 2021;Месяц: 1;День: 21;Доллар США-российский рубль__CETS;65.041;73,27;73,2;74,1;73,845;73,6693;241736729100.0
1;Год: 2021;Месяц: 1;День: 18;Евро-российский рубль__CETS;7.472;89,37;89,0;89,75;89,42;89,4458;29720607940.0
5;Год: 2021;Месяц: 1;День: 19;Евро-российский рубль__CETS;7.221;89,2625;89,065;89,745;89,335;89,3977;32309039092.5
9;Год: 2021;Месяц: 1;День: 20;Евро-российский рубль__CETS;8.438;89,275;88,82;89,37;88,96;89,0461;32288664280.0
13;Год: 2021;Месяц: 1;День: 21;Евро-российский рубль__CETS;8.772;88,9025;88,8375;89,9375;89,845;89,4275;39888945022.5
3;Год: 2021;Месяц: 1;День: 22;Юань-российский рубль__CETS;0.491;11,4584;11,45;11,6;11,581;11,4975;1302717546.0
6;Год: 2021;Месяц: 1;День: 25;Юань-российский рубль__CETS;0.531;11,5104;11,5041;11,6729;11,6205;11,5783;2078195453.5
9;Год: 2021;Месяц: 1;День: 26;Юань-российский рубль__CETS;0.505;11,6669;11,582;11,6839;11,605;11,6561;2984112353.2
5;Год: 2021;Месяц: 1;День: 22;Доллар США-российский рубль__CETS;95.24;74,0675;74,0675;75,3625;75,3;74,7878;341592066052.5
9;Год: 2021;Месяц: 1;День: 25;Доллар США-российский рубль__CETS;85.458;74,9325;74,53;75,8675;75,3675;75,3001;313528288932.5
13;Год: 2021;Месяц: 1;День: 26;Доллар США-российский рубль__CETS;65.628;75,555;74,9325;75,79;75,085;75,3531;272578794652.5
5;Год: 2021;Месяц: 1;День: 22;Евро-российский рубль__CETS;12.08;90,205;90,105;91,6875;91,62;90,9051;40774137082.5
9;Год: 2021;Месяц: 1;День: 25;Евро-российский рубль__CETS;9.831;91,155;90,78;91,9775;91,46;91,4791;37324479965.0
13;Год: 2021;Месяц: 1;День: 26;Евро-российский рубль__CETS;7.663;91,26;91,125;91,9;91,385;91,4925;33821948165.0
3;Год: 2021;Месяц: 1;День: 27;Юань-российский рубль__CETS;0.489;11,5726;11,5699;11,7049;11,683;11,6054;2431830476.6
6;Год: 2021;Месяц: 1;День: 28;Юань-российский рубль__CETS;0.952;11,6879;11,6879;11,7989;11,749;11,7331;5969356490.3
9;Год: 2021;Месяц: 1;День: 29;Юань-российский рубль__CETS;0.727;11,7834;11,6881;11,8199;11,75;11,7815;4448173254.6
5;Год: 2021;Месяц: 1;День: 27;Доллар США-российский рубль__CETS;81.541;75,0675;74,84;75,9825;75,85;75,5293;333008070785.0
9;Год: 2021;Месяц: 1;День: 28;Доллар США-российский рубль__CETS;82.011;75,8425;75,6775;76,5;75,9575;76,1932;338945029815.0
13;Год: 2021;Месяц: 1;День: 29;Доллар США-российский рубль__CETS;78.529;76,2325;75,2325;76,355;75,755;75,8499;316860194120.0
5;Год: 2021;Месяц: 1;День: 27;Евро-российский рубль__CETS;8.977;91,1825;91,0375;91,9;91,84;91,543;37185860812.5
9;Год: 2021;Месяц: 1;День: 28;Евро-российский рубль__CETS;11.362;91,7575;91,6925;92,515;92,145;92,2577;50591054015.0
13;Год: 2021;Месяц: 1;День: 29;Евро-российский рубль__CETS;8.746;92,2025;91,4;92,43;91,92;92,0068;38379697612.5
0;Год: 2021;Месяц: 2;День: 1;Юань-российский рубль__CETS;0.412;11,716;11,6543;11,7659;11,762;11,6941;887603662.5
3;Год: 2021;Месяц: 2;День: 2;Юань-российский рубль__CETS;0.345;11,7321;11,6641;11,812;11,812;11,7324;603669070.8
6;Год: 2021;Месяц: 2;День: 3;Юань-российский рубль__CETS;0.284;11,7739;11,7261;11,7961;11,75;11,7719;588808142.7
9;Год: 2021;Месяц: 2;День: 4;Юань-российский рубль__CETS;0.281;11,7561;11,6461;11,7657;11,675;11,6981;512421523.4
12;Год: 2021;Месяц: 2;День: 5;Юань-российский рубль__CETS;0.378;11,636;11,5242;11,636;11,568;11,5724;414337162.8
